fold_id,policy_name,rows,quote_rate,average_markout_bps,baseline_average_markout_bps,markout_lift_bps,markout_lift_ci_lower_bps,markout_lift_ci_upper_bps
0,leaky,2,0.5,0.5,-0.5,1,-0.96,2.96
0,maker_side_filter,2,0.5,0.5,-0.5,1,-0.96,2.96
0,ofi_quote,2,1,-0.5,-0.5,0,0,0
1,leaky,2,0.5,1,0.5,0.5,-0.48,1.48
1,maker_side_filter,2,0.5,-0.5,0.5,-1,-2.96,0.96
1,ofi_quote,2,1,0.5,0.5,0,0,0
